MovieID,Title,Gender,AvgRating
1010,Lawrence of Arabia (1962),F,3.31
1010,Lawrence of Arabia (1962),M,3.55
1012,Psycho (1960),F,4.00
1013,The Godfather: Part II (1974),F,3.94
1013,The Godfather: Part II (1974),M,4.06
1015,Sunset Boulevard (1950),F,4.50
1015,Sunset Boulevard (1950),M,4.33
1020,E.T. the Extra-Terrestrial (1982),F,3.55
1020,E.T. the Extra-Terrestrial (1982),M,3.81
1025,The Terminator (1984),F,4.14
1025,The Terminator (1984),M,3.93
1028,Fight Club (1999),F,3.50
1028,Fight Club (1999),M,3.50
1030,The Silence of the Lambs (1991),F,3.00
1030,The Silence of the Lambs (1991),M,3.33
1037,The Lord of the Rings: The Fellowship of the Ring (2001),F,3.80
1037,The Lord of the Rings: The Fellowship of the Ring (2001),M,4.00
1039,The Lord of the Rings: The Return of the King (2003),F,3.90
1039,The Lord of the Rings: The Return of the King (2003),M,3.75
1040,Gladiator (2000),F,3.64
1040,Gladiator (2000),M,3.59
1043,No Country for Old Men (2007),F,3.83
1043,No Country for Old Men (2007),M,3.92
1047,The Social Network (2010),F,3.67
1047,The Social Network (2010),M,4.00
1050,Mad Max: Fury Road (2015),F,3.32
1050,Mad Max: Fury Road (2015),M,4.00
