MovieID,Title,AgeGroup,AvgRating
1010,Lawrence of Arabia (1962),25-34,3.60
1010,Lawrence of Arabia (1962),35-44,3.28
1010,Lawrence of Arabia (1962),45-54,3.62
1012,Psycho (1960),25-34,4.50
1012,Psycho (1960),35-44,3.50
1013,The Godfather: Part II (1974),18-24,4.00
1013,The Godfather: Part II (1974),25-34,3.71
1013,The Godfather: Part II (1974),35-44,4.25
1015,Sunset Boulevard (1950),18-24,4.50
1015,Sunset Boulevard (1950),25-34,4.00
1015,Sunset Boulevard (1950),35-44,4.50
1015,Sunset Boulevard (1950),45-54,4.50
1020,E.T. the Extra-Terrestrial (1982),18-24,3.50
1020,E.T. the Extra-Terrestrial (1982),25-34,3.58
1020,E.T. the Extra-Terrestrial (1982),35-44,3.81
1020,E.T. the Extra-Terrestrial (1982),45-54,4.00
1020,E.T. the Extra-Terrestrial (1982),55+,3.00
1025,The Terminator (1984),18-24,4.50
1025,The Terminator (1984),25-34,4.10
1025,The Terminator (1984),35-44,4.00
1025,The Terminator (1984),45-54,4.17
1025,The Terminator (1984),55+,3.75
1028,Fight Club (1999),25-34,3.50
1028,Fight Club (1999),35-44,3.50
1028,Fight Club (1999),45-54,3.50
1030,The Silence of the Lambs (1991),25-34,3.00
1030,The Silence of the Lambs (1991),35-44,3.00
1030,The Silence of the Lambs (1991),45-54,3.33
1037,The Lord of the Rings: The Fellowship of the Ring (2001),18-24,4.00
1037,The Lord of the Rings: The Fellowship of the Ring (2001),25-34,4.00
1037,The Lord of the Rings: The Fellowship of the Ring (2001),35-44,3.69
1037,The Lord of the Rings: The Fellowship of the Ring (2001),45-54,4.12
1039,The Lord of the Rings: The Return of the King (2003),25-34,3.83
1039,The Lord of the Rings: The Return of the King (2003),35-44,3.75
1039,The Lord of the Rings: The Return of the King (2003),45-54,4.00
1040,Gladiator (2000),18-24,3.50
1040,Gladiator (2000),25-34,3.42
1040,Gladiator (2000),35-44,3.75
1040,Gladiator (2000),45-54,3.88
1040,Gladiator (2000),55+,3.00
1043,No Country for Old Men (2007),18-24,3.50
1043,No Country for Old Men (2007),25-34,3.83
1043,No Country for Old Men (2007),35-44,3.75
1043,No Country for Old Men (2007),45-54,4.38
1043,No Country for Old Men (2007),55+,3.50
1047,The Social Network (2010),25-34,4.00
1047,The Social Network (2010),35-44,3.50
1047,The Social Network (2010),45-54,4.00
1050,Mad Max: Fury Road (2015),18-24,3.00
1050,Mad Max: Fury Road (2015),25-34,3.40
1050,Mad Max: Fury Road (2015),35-44,3.64
