Năm        | Tháng      | Số lượng đơn hàng   
2022       | 12         | 1
2022       | 10         | 324
2022       | 09         | 4
2023       | 12         | 5,673
2023       | 11         | 7,544
2023       | 10         | 4,631
2023       | 09         | 4,285
2023       | 08         | 4,331
2023       | 07         | 4,026
2023       | 06         | 3,245
2023       | 05         | 3,700
2023       | 04         | 2,404
2023       | 03         | 2,682
2023       | 02         | 1,780
2023       | 01         | 800
2024       | 10         | 4
2024       | 09         | 16
2024       | 08         | 6,512
2024       | 07         | 6,292
2024       | 06         | 6,167
2024       | 05         | 6,873
2024       | 04         | 6,939
2024       | 03         | 7,211
2024       | 02         | 6,728
2024       | 01         | 7,269
